주차,유동인구수(평균),유동인구수(중앙값)
1,2277694,2436935
2,2277186,2399645
3,2161357,2427901
4,2040718,1949830
5,2311921,2456022
6,2301993,2441897
7,2306446,2446612
8,2278192,2408820
9,2187747,2377538
10,2275595,2427584
11,2281528,2413549
12,2298564,2436393
13,2355329,2461238
14,2289233,2428791
15,2266175,2408134
16,2297811,2420666
17,2273595,2416416
18,2098005,1935740
19,2308241,2438762
20,2295376,2424049
21,2230369,2390357
22,2174174,2373316
23,2142143,2222322
24,2243076,2385938
25,2228087,2367639
26,2205836,2348361
27,2210481,2349422
28,2199670,2342397
29,2202740,2352071
30,2190476,2327818
31,2132416,2256983
32,2154983,2278557
33,2094676,2130897
34,2200714,2340330
35,2222733,2347389
36,2254769,2395873
37,2247452,2381922
38,2323857,2389208
39,1908907,1636855
40,2101058,1987979
41,2173989,2380211
42,2221382,2354862
43,2242426,2352138
44,2248876,2376857
45,2229983,2374735
46,2236852,2365829
47,2261033,2392455
48,2266906,2423054
49,2298517,2419341
50,2272612,2402847
51,2307851,2409934
52,2103677,2118329
